,id,building_type,building_subtype,price,living_area,frontages,bedrooms,bathrooms,liv_room_surf,kitchen_type,showers,toilets,basement,terrace,garden,elevator,swimming_pool,status_build,furnished,energy_class,heating,flood_zone,surroundings,zipcode,municipality,province
4223,10562258,apartment,apartment,189000.0,75.0,4.0,2.0,,20.0,2.0,1.0,1.0,1.0,12,0,1.0,,,,1,Gas,,,1000,Bruxelles,Brussels Capital Region
4224,10573651,house,house,,,3.0,2.0,,,,,,,0,0,,,1.0,,1,,,Urban,6030,Marchienne-Au-Pont,Hainaut
4225,10447285,house,house,144000.0,107.0,2.0,2.0,1.0,16.0,0.0,1.0,2.0,,48,0,0.0,0.0,2.0,0.0,4,,Non flood zone,"Living area (residential, urban or rural)",4102,Seraing,Liège
4226,10552703,house,house,225000.0,169.0,,2.0,,37.0,2.0,,1.0,,0,0,,,0.0,0.0,2,Gas,Non flood zone,,8800,Rumbeke,West Flanders
4227,10575619,house,house,100000.0,,,3.0,1.0,,0.0,,,1.0,0,0,,,1.0,,4,,,Urban,7500,Tournai,Hainaut
4228,10594956,house,house,149000.0,198.0,2.0,4.0,1.0,,,1.0,1.0,1.0,0,0,,,1.0,0.0,2,Gas,Non flood zone,,9600,Renaix,East Flanders
4229,10250661,apartment,apartment,239000.0,99.0,2.0,2.0,1.0,23.0,2.0,,1.0,1.0,0,0,0.0,,2.0,0.0,3,Gas,,,1090,Jette,Brussels Capital Region
4230,10517303,house,house,195000.0,125.0,,4.0,,,1.0,,2.0,1.0,0,0,,,2.0,0.0,4,Gas,Non flood zone,,8930,Rekkem,West Flanders
4231,10188811,apartment,apartment,189000.0,50.0,2.0,2.0,2.0,14.0,,2.0,2.0,1.0,2,0,,,2.0,0.0,3,,,,1070,Anderlecht,Brussels Capital Region
4232,10555298,apartment,apartment,260000.0,58.0,2.0,1.0,1.0,38.0,3.0,,1.0,,0,0,1.0,,3.0,0.0,6,Gas,,Urban,1050,Ixelles,Brussels Capital Region
4233,10419043,apartment,apartment,,,,1.0,,,,,,,0,0,,,,,2,,Non flood zone,,8420,Wenduine,West Flanders
4234,10555642,house,house,149000.0,98.0,2.0,2.0,1.0,15.0,1.0,1.0,1.0,,10,52,0.0,0.0,3.0,0.0,3,Gas,Non flood zone,Isolated,4020,Wandre,Liège
4235,9866363,apartment,service-flat,189000.0,60.0,2.0,1.0,1.0,25.0,2.0,,1.0,1.0,20,0,1.0,,2.0,,5,Gas,Non flood zone,,1800,Vilvoorde,Flemish Brabant
4236,10106415,house,house,229000.0,130.0,3.0,4.0,,32.0,1.0,,1.0,1.0,20,60,,,2.0,0.0,4,,,,4101,Seraing,Liège
4237,10577044,house,house,82000.0,75.0,3.0,1.0,,17.0,,,,,6,340,,,,0.0,1,Fuel oil,,,5680,Vodelée,Namur
4238,10508526,apartment,duplex,189000.0,75.0,,2.0,1.0,,1.0,,1.0,,0,0,1.0,0.0,3.0,0.0,5,Gas,Non flood zone,Urban,6032,Marchienne-Au-Pont,Hainaut
4239,10566935,apartment,apartment,250000.0,84.0,4.0,2.0,2.0,35.0,1.0,,1.0,1.0,4,0,,,,,1,Gas,,,1470,Genappe,Walloon Brabant
4240,9928387,house,house,199000.0,175.0,3.0,3.0,2.0,14.0,,,1.0,,7,650,,,,,4,Gas,,,4540,Ombret,Liège
4241,10236814,house,house,199000.0,192.0,,3.0,,46.0,1.0,1.0,1.0,1.0,35,116,,,2.0,0.0,4,Gas,,,4031,Grivegnee,Liège
4242,10391932,apartment,apartment,260000.0,85.0,,2.0,1.0,32.0,3.0,,1.0,,0,0,1.0,0.0,2.0,1.0,6,Gas,Non flood zone,Urban,1701,Sint-Ulriks-Kapelle,Flemish Brabant
4243,10508662,house,house,,,2.0,2.0,,,,,,,0,0,,,1.0,,3,,,,6020,Dampremy,Hainaut
4244,10345400,house,house,229000.0,214.0,,5.0,,,1.0,1.0,2.0,,0,0,,,2.0,0.0,4,Gas,Non flood zone,,8851,Ardooie,West Flanders
4245,10515353,house,house,199000.0,105.0,,3.0,,,1.0,,1.0,,0,50,,,2.0,0.0,2,Gas,Possible flood zone,,8400,Zandvoorde,West Flanders
4246,10455494,house,house,149000.0,71.0,3.0,2.0,1.0,14.0,0.0,1.0,1.0,,0,50,0.0,0.0,2.0,0.0,2,Gas,Non flood zone,Isolated,4100,Seraing,Liège
