NIS,median_gross_income
52021,"42,495"
52022,"41,069"
52025,"51,865"
52048,"53,013"
52055,"52,195"
52074,"41,165"
52075,"54,549"
53000,"43,478"
53014,"38,005"
53020,"40,464"
53028,"42,279"
53039,"41,696"
53044,"59,791"
53046,"51,546"
53053,"45,844"
53065,"35,822"
53068,"39,436"
53070,"46,880"
53082,"36,931"
53083,"49,469"
53084,"51,644"
55000,"48,322"
55004,"51,698"
55035,"50,209"
55040,"50,690"
55050,"49,801"
55085,"52,708"
55086,"40,036"
56000,"45,590"
56001,"40,213"
56005,"46,152"
56016,"41,328"
56022,"41,947"
56029,"41,495"
56044,"51,559"
56049,"45,032"
56051,"38,147"
56078,"49,032"
56086,"55,997"
56088,"41,623"
57000,"44,095"
57003,"42,241"
57018,"47,174"
57027,"43,980"
57062,"48,065"
57064,"43,319"
57072,"45,410"
57081,"46,592"
57093,"46,594"
57094,"47,835"
57095,"49,484"
57096,"41,446"
57097,"40,235"
58000,"40,440"
58001,"38,802"
58002,"41,572"
58003,"49,469"
58004,"42,036"
60000,"46,125"
61000,"51,081"
61003,"45,268"
61010,"61,567"
61012,"50,434"
61019,"51,882"
61024,"46,534"
61028,"58,869"
61031,"45,801"
61039,"51,680"
61041,"53,880"
61043,"63,003"
61048,"50,474"
61063,"57,343"
61068,"55,445"
61072,"51,125"
61079,"51,578"
61080,"42,249"
61081,"57,403"
62000,"43,907"
62003,"42,566"
62006,"50,238"
62009,"50,678"
62011,"48,067"
62015,"43,931"
62022,"55,849"
62026,"46,076"
62027,"54,259"
62032,"56,305"
62038,"44,172"
62051,"39,534"
62060,"53,194"
62063,"40,172"
62079,"45,213"
62093,"36,940"
62096,"38,186"
62099,"49,283"
62100,"57,443"
62108,"46,067"
62118,"41,062"
62119,"52,020"
62120,"43,996"
62121,"59,328"
62122,"50,483"
63000,"46,488"
63001,"44,577"
63003,"52,100"
63004,"52,466"
63012,"42,142"
63013,"43,143"
63020,"39,643"
63023,"45,587"
63035,"53,137"
63038,"55,617"
63040,"41,267"
63045,"50,460"
63046,"48,659"
63048,"48,446"
63049,"45,239"
63057,"56,708"
63058,"48,879"
63061,"46,893"
63067,"47,191"
63072,"46,083"
63073,"48,735"
63075,"53,506"
63076,"54,904"
63079,"40,545"
63080,"46,568"
63084,"48,177"
63086,"47,428"
63087,"46,121"
63088,"43,517"
63089,"55,870"
64000,"53,052"
64008,"54,113"
64015,"54,390"
64021,"55,449"
64023,"57,834"
